Name,R,G,B
Белый,255,255,255
Бежевый: Кремовый,253,244,227
Коричневый,105,55,8
Бежевый,212,212,193
Желтый,255,255,0
Оранжевый,237,112,9 
Зеленый,20,105,20
Красный,184,18,18
Красный: Бордовый,100,28,13
Розовый,215,162,203
Синий,15,57,110
Голубой,105,182,245
Серый,128,128,128
Фиолетовый,106,16,181
Фиолетовый: Сиреневый,191,105,191
Черный,0,0,0
Фиолетовый: Лиловый,153,51,102
Мятный: Бирюзовый,18,166,170
Коричневый: Песочный,252,221,118
Коричневый: Горчичный,209,177,61
Оранжевый: Персиковый,240,201,127
Розовый: Коралловый,240,126,84
Синий: Темно-синий,2,33,55
Зеленый: Салатовый,99,224,99
Розовый: Малиновый,189,32,61
Серый: Темно-серый,66,66,65
Фиолетовый: Баклажановый,74,1,50
Фиолетовый: Бледно-фиолетовый,133,118,171
Коричневый: Кирпичный,133,59,47
Зеленый: Оливковый,97,128,11
Оранжевый: Охра,204,119,34
Коричневый: Терракотовый,161,79,43
Коричневый: Кофейный,68,45,37
Бежевый: Экрю,205,184,145
Мятный,62,180,137
Коричневый: Светло-коричневый,152,118,84
Фиолетовый: Сливовый,93,0,97
Серый: Светло-серый,187,187,187
Коричневый: Темно-коричневый,101,67,33
Розовый: Темно-розовый,231,84,128
Голубой: Светло-голубой,135,206,250
Красный: Лососевый,255,140,105
Бежевый: Слоновая кость,255,255,240
Коричневый: Шоколадный,210,105,30
Зеленый: Зелено-синий,31,54,56
Коричневый: Коричнево-бежевый,138,102,66
Белый: Бело-зеленый,189,236,182
Зеленый: Изумрудный,63,117,81
Фиолетовый: Темно-фиолетовый,48,12,40
Бежевый: Бежево-красный,179,113,93
Зеленый: Хаки,108,122,48
Зеленый: Светло-зеленый,144,238,144
Зеленый: Темно-зеленый,35,69,32
Зеленый: Лайм,15,184,15
Красный: Темно-красный,99,5,5
Серый: Серо-голубой,125,154,184
Бежевый: Темно-бежевый,168,152,114
